processor_name,passmark,rank,value,price
686 Gen,288,2727,,
AMD A10 Micro-6700T APU,1970,1701,,
AMD A10 PRO-7350B APU,3171,1261,,
AMD A10 PRO-7800B APU,4934,865,,
AMD A10 PRO-7850B APU,5380,785,,
AMD A10-4600M APU,3113,1283,,
AMD A10-4655M APU,2607,1448,,
AMD A10-4657M APU,2906,1357,,
AMD A10-5700 APU,4212,1008,65.31,$64.50*
AMD A10-5745M APU,2763,1403,,
AMD A10-5750M APU,3344,1212,,
AMD A10-5757M APU,3084,1290,,
AMD A10-5800B APU,4568,934,,
AMD A10-5800K APU,4637,917,7.6,$610.00*
AMD A10-6700 APU,4606,927,39.37,$116.99*
AMD A10-6700T APU,3693,1123,25.02,$147.61*
AMD A10-6790K APU,4685,909,49.32,$94.99*
AMD A10-6800B APU,4806,888,,
AMD A10-6800K APU,4861,880,16.95,$286.85*
AMD A10-7300 APU,2906,1355,,
AMD A10-7400P,3603,1138,,
AMD A10-7700K APU,5118,822,14.76,$346.70*
AMD A10-7800 APU,4982,857,48.19,$103.39*
AMD A10-7850K APU,5471,768,28.8,$190.00
AMD A10-7860K,5068,834,28.96,$175.00*
AMD A10-7870K,5467,771,24.09,$226.99*
AMD A10-7890K,5701,739,28.51,$199.99*
AMD A10-8700P,3448,1182,,
AMD A10-8750,5057,837,,
AMD A10-8850,5598,754,,
AMD A10-9600P,3777,1098,,
AMD A10-9620P,3673,1127,,
AMD A10-9630P,4497,952,,
AMD A10-9700,5381,784,66.91,$80.43
AMD A10-9700E,4747,900,39.49,$120.24*
AMD A12-9700P,3728,1113,,
AMD A12-9720P,3992,1048,,
AMD A12-9730P,4417,968,,
AMD A12-9800,5521,763,37.25,$148.24*
AMD A12-9800E,5083,827,39.11,$129.99
AMD A4 Micro-6400T APU,1544,1919,,
AMD A4 PRO-3340B,2402,1525,,
AMD A4 PRO-7300B APU,2335,1548,,
AMD A4 PRO-7350B,2227,1601,,
AMD A4-1200 APU,632,2407,,
AMD A4-1250 APU,619,2414,,
AMD A4-3300 APU,1499,1944,115.46,$12.99
AMD A4-3300M APU,1185,2107,39.52,$29.99*
AMD A4-3305M APU,1223,2085,39.7,$30.81
AMD A4-3310MX APU,1287,2047,,
AMD A4-3320M APU,1253,2069,34.93,$35.90
AMD A4-3330MX APU,1212,2090,,
AMD A4-3400 APU,1592,1905,18.11,$87.95
AMD A4-3420 APU,1666,1862,,
AMD A4-4000 APU,1831,1777,14.28,$128.27
AMD A4-4020 APU,1921,1725,20.89,$92.00
AMD A4-4300M APU,1612,1892,40.44,$39.86
AMD A4-4355M APU,1177,2109,,
AMD A4-5000 APU,1914,1730,,
AMD A4-5050 APU,2113,1643,,
AMD A4-5100 APU,2037,1673,,
AMD A4-5150M APU,1864,1759,,
AMD A4-5300 APU,2011,1685,21.99,$91.45
AMD A4-5300B APU,2142,1627,56.38,$38.00*
AMD A4-6210 APU,2168,1620,,
AMD A4-6250J APU,2556,1468,,
AMD A4-6300 APU,2221,1603,37.02,$59.99*
AMD A4-6300B APU,2129,1634,21.3,$100.00*
AMD A4-6320 APU,2329,1549,33.29,$69.99*
AMD A4-7210 APU,2523,1481,,
AMD A4-7300 APU,2307,1559,19.39,$119.00
AMD A4-9120,1944,1713,,
AMD A4-9125,1939,1716,,
