age,computertype,disk_capacity_as_kb,disk_model,disk_rpm,disk_type,fieldinterest,gender,gpu_manufacturer,gpu_model,gpu_processor_ddr_capacity,gpu_processor_ddr_number,gpu_processor_ddr_type,gpu_version,mainuse,memory_capacity_as_kb,memory_mhz,memory_type_number,memory_type_type,motherboard_ddrsockets,motherboard_maxram,price,processor_manufacturer,processor_mhz,processor_model,processor_numofcores
29,laptop,524288000,ST500LM000-SSHD-8GB,5400,hdd,computers,male,NVIDIA,GeForce,962560.0,3.0,DDR,940.0,programming,8388608,1600,3.0,DDR,1,8388608.0,3200.0,Intel,2500.0,Core i7-6500U,4.0
25,desk,251658240,Kingston® A1000,-1,ssd,home,male,Nvidia,GTX,6291456.0,5.0,DDR,1060.0,personal use,16777216,3000,4.0,DDR,2,,3600.0,Intel,4000.0,Core i5-8400,6.0
23,desk,1073741824,Western Digital Blue,7200,hdd,home,male,Asus,GeForce GTX,6291456.0,6.0,GDDR,1660.0,gaming,8388608,2666,4.0,DDR,2,,3500.0,Intel,2900.0,Core i5-9400F,6.0
24,desk,1073741824,Western Digital Blue,7200,hdd,computers,female,Intel,UHD Graphics,,,,630.0,programming,16777216,2666,4.0,DDR,2,,3250.0,Intel,2800.0,Core i5-8400,6.0
25,laptop,268435456,,-1,ssd,office,female,Intel,,,,,620.0,work,8388608,3000,4.0,DDR,1,,3200.0,Intel,2200.0,Core i5-8265U,4.0
26,laptop,1073741824,,5400,hdd,office,female,NVIDIA,GeForce MX,2097152.0,5.0,DDR,110.0,work,8388608,2666,4.0,DDR,1,,3700.0,Intel,3700.0,Core i3-6006U,2.0
27,laptop,2147483648,,5400,hdd,home,male,AMD,Radeon,4194304.0,,,530.0,gaming,33554432,2666,4.0,DDR,1,,6500.0,Intel,1800.0,Core i7-8550U,4.0
28,desk,524288000,Samsung 860 EVO,-1,ssd,home,male,Nvidia,GeForce RTX,8388608.0,6.0,GDDR,2070.0,gaming,16777216,2666,4.0,DDR,2,,7200.0,Intel,3600.0,Core i7-9700K,8.0
28,desk,251658240,SanDisk SSD Plus,-1,ssd,home,female,Intel,UHD Graphics,,,,630.0,personal use,8388608,2666,4.0,DDR,2,,2400.0,Intel,2800.0,Core i5-8400,6.0
27,laptop,524288000,,-1,ssd,home,female,Intel,HD Graphics,,,,520.0,personal use,4194304,1600,4.0,DDR,1,,1600.0,Intel,2000.0,Core i3-6006U,2.0
29,laptop,524288000,,-1,ssd,home,male,Intel,HD Graphics,,,,521.0,personal use,8388608,2666,4.0,DDR,1,,2400.0,Intel,2000.0,Core i3-6006U,2.0
26,laptop,268435456,,-1,ssd,home,male,Nvidia,GeForce MX,2097152.0,3.0,DDR,110.0,personal use,8388608,2666,4.0,DDR,1,,2950.0,Intel,1600.0,Core i5-8250U,4.0
34,laptop,524288000,,5400,hdd,home,male,Intel,HD Graphics,,,,520.0,personal use,8388608,1600,4.0,DDR,1,,2000.0,Intel,2000.0,Core i3-6006U,2.0
32,laptop,268435456,,-1,ssd,computers,male,NVIDIA,GeForce GTX,4194304.0,5.0,GDDR,1050.0,gaming,8388608,1600,4.0,DDR,1,,5000.0,Intel,2300.0,Core i5-8300H,4.0
30,laptop,536870912,,-1,ssd,home,male,Nvidia,GeForce MX,4194304.0,6.0,GDDR,150.0,personal use,16777216,3000,4.0,DDR,1,,5050.0,Intel,1800.0,Core i7-8550U,4.0
29,laptop,1073741824,,7200,hdd,computers,male,NVIDIA,GeForce GTX,4194304.0,5.0,GDDR,1050.0,gaming,8388608,3000,4.0,DDR,1,,6300.0,Intel,2200.0,Core i7-8750H,6.0
26,laptop,1073741824,,5400,hdd,computers,male,Intel,UHD Graphics,,,,620.0,gaming,8388608,2666,4.0,DDR,1,,2400.0,Intel,1600.0,Core i5-8250U,4.0
25,laptop,1073741824,,5400,hdd,computers,male,Intel,UHD Graphics,,,,620.0,programming,8388608,3000,4.0,DDR,1,,2200.0,Intel,2300.0,Core i3-7020U,2.0
28,laptop,524288000,,5400,hdd,computers,female,Intel,UHD Graphics,,,,605.0,personal use,4194304,3000,4.0,LPDDR,1,,1600.0,Intel,1100.0,Pentium Silver N5000,4.0
27,laptop,524288000,,5400,hdd,home,male,Intel,HD Graphics,,,,520.0,personal use,4194304,2666,4.0,DDR,1,,1750.0,Intel,2000.0,Core i3-6006U,2.0
27,laptop,268435456,,-1,ssd,computers,female,Nvidia,GeForce MX,2097152.0,5.0,GDDR,130.0,programming,8388608,3000,4.0,DDR,1,,2800.0,Intel,2500.0,Core i5-8250U,4.0
27,laptop,536870912,,-1,ssd,computers,male,NVIDIA,GeForce GTX,8388608.0,6.0,GDDR,1070.0,gaming,33554432,3000,4.0,DDR,1,,10500.0,Intel,4100.0,Core i7-8750H,6.0
25,laptop,268435456,,-1,ssd,home,male,Intel,UHD Graphics,,,,620.0,personal use,8388608,2666,4.0,DDR,1,,3200.0,Intel,2200.0,Core i3-8130U,2.0
24,laptop,268435456,,-1,ssd,computers,male,Nvidia,GeForce GTX,4194304.0,5.0,GDDR,1050.0,programming,8388608,3000,4.0,DDR,1,,4400.0,Intel,2200.0,Core i7-8750H,6.0
23,desk,251658240,SanDisk SSD Plus,-1,ssd,computers,female,Intel,UHD Graphics,,,,630.0,personal use,8388608,2666,4.0,DDR,2,,2800.0,Intel,3200.0,Core i7-8700,6.0
24,laptop,1073741824,,5400,hdd,computers,male,Intel,UHD Graphics,,,,620.0,programming,8388608,3000,4.0,DDR,1,,2000.0,Intel,2300.0,Core i3-7020U,2.0
27,laptop,268435456,,-1,ssd,computers,male,Intel,UHD Graphics,,,,620.0,programming,4194304,3000,4.0,DDR,1,,3100.0,Intel,1600.0,Core i5-8250U,4.0
29,laptop,536870912,,-1,ssd,computers,male,Intel,UHD Graphics,,,,620.0,programming,8388608,3000,4.0,DDR,1,,2950.0,Intel,2200.0,Core i3-8130U,2.0
30,laptop,536870912,,-1,ssd,computers,male,Intel,UHD Graphics,,,,620.0,programming,8388608,3000,4.0,DDR,1,,2200.0,Intel,2300.0,Core i3-7020U,2.0
32,desk,251658240,SanDisk SSD Plus,-1,ssd,home,male,AMD,Radeon,2097152.0,3.0,GDDR,230.0,personal use,4194304,2666,4.0,DDR,2,,2200.0,Intel,2900.0,Core i5-9400F,6.0
33,desk,251658240,SanDisk SSD Plus,-1,ssd,home,male,Intel,UHD Graphics,,,,630.0,personal use,8388608,2666,4.0,DDR,2,,2000.0,Intel,3600.0,Core i3-8100,4.0
20,desk,1073741824,Western Digital Blue,7200,hdd,home,male,Nvidia,GeForce GTX,6291456.0,6.0,GDDR,1660.0,gaming,8388608,2666,4.0,DDR,2,,4200.0,Intel,2900.0,Core i5-9400F,6.0
